"area" "perimeter" "compactness" "asymmetry" "species"
"47" 15.36 14.76 0.8861 1.367 "Kama"
"48" 14.99 14.56 0.8883 2.958 "Kama"
"49" 14.79 14.52 0.8819 2.704 "Kama"
"50" 14.86 14.67 0.8676 2.129 "Kama"
"51" 14.43 14.4 0.8751 3.975 "Kama"
"52" 15.78 14.91 0.8923 5.593 "Kama"
"53" 14.49 14.61 0.8538 4.116 "Kama"
"54" 14.33 14.28 0.8831 3.328 "Kama"
"55" 14.52 14.6 0.8557 1.481 "Kama"
"56" 15.03 14.77 0.8658 1.933 "Kama"
"57" 14.46 14.35 0.8818 2.802 "Kama"
"58" 14.92 14.43 0.9006 1.142 "Kama"
"59" 15.38 14.77 0.8857 1.999 "Kama"
"60" 12.11 13.47 0.8392 1.502 "Kama"
"61" 11.42 12.86 0.8683 2.7 "Kama"
"62" 11.23 12.63 0.884 2.269 "Kama"
"63" 12.36 13.19 0.8923 3.22 "Kama"
"64" 13.22 13.84 0.868 4.157 "Kama"
"65" 12.78 13.57 0.8716 1.176 "Kama"
"66" 12.88 13.5 0.8879 2.352 "Kama"
"67" 14.34 14.37 0.8726 1.313 "Kama"
"68" 14.01 14.29 0.8625 2.217 "Kama"
"69" 14.37 14.39 0.8726 1.464 "Kama"
"70" 12.73 13.75 0.8458 3.533 "Kama"
"71" 17.63 15.98 0.8673 4.076 "Rosa"
"72" 16.84 15.67 0.8623 4.675 "Rosa"
"73" 17.26 15.73 0.8763 4.539 "Rosa"
"74" 19.11 16.26 0.9081 2.936 "Rosa"
"75" 16.82 15.51 0.8786 4.004 "Rosa"
"76" 16.77 15.62 0.8638 4.92 "Rosa"
"77" 17.32 15.91 0.8599 3.824 "Rosa"
"78" 20.71 17.23 0.8763 4.451 "Rosa"
"79" 18.94 16.49 0.875 5.064 "Rosa"
"80" 17.12 15.55 0.8892 2.858 "Rosa"
"81" 16.53 15.34 0.8823 5.532 "Rosa"
"82" 18.72 16.19 0.8977 5.324 "Rosa"
"83" 20.2 16.89 0.8894 5.173 "Rosa"
"84" 19.57 16.74 0.8779 1.472 "Rosa"
"85" 19.51 16.71 0.878 2.962 "Rosa"
"86" 18.27 16.09 0.887 2.443 "Rosa"
"87" 18.88 16.26 0.8969 1.649 "Rosa"
"88" 18.98 16.66 0.859 3.691 "Rosa"
"89" 21.18 17.21 0.8989 5.78 "Rosa"
"90" 20.88 17.05 0.9031 5.016 "Rosa"
"91" 20.1 16.99 0.8746 1.955 "Rosa"
"92" 18.76 16.2 0.8984 3.12 "Rosa"
"93" 18.81 16.29 0.8906 3.237 "Rosa"
"94" 18.59 16.05 0.9066 6.001 "Rosa"
"95" 18.36 16.52 0.8452 4.933 "Rosa"
"96" 16.87 15.65 0.8648 3.696 "Rosa"
"97" 19.31 16.59 0.8815 3.477 "Rosa"
"98" 18.98 16.57 0.8687 2.144 "Rosa"
"99" 18.17 16.26 0.8637 2.853 "Rosa"
"100" 18.72 16.34 0.881 2.188 "Rosa"
"101" 16.41 15.25 0.8866 4.217 "Rosa"
"102" 17.99 15.86 0.8992 2.068 "Rosa"
"103" 19.46 16.5 0.8985 4.308 "Rosa"
"104" 19.18 16.63 0.8717 3.357 "Rosa"
"105" 18.95 16.42 0.8829 3.368 "Rosa"
"106" 18.83 16.29 0.8917 2.553 "Rosa"
"107" 18.85 16.17 0.9056 2.843 "Rosa"
"108" 17.63 15.86 0.88 3.747 "Rosa"
"109" 19.94 16.92 0.8752 3.252 "Rosa"
"110" 18.55 16.22 0.8865 1.738 "Rosa"
"111" 18.45 16.12 0.8921 2.235 "Rosa"
"112" 19.38 16.72 0.8716 3.678 "Rosa"
"113" 19.13 16.31 0.9035 2.109 "Rosa"
"114" 19.14 16.61 0.8722 6.682 "Rosa"
"115" 20.97 17.25 0.8859 4.677 "Rosa"
"116" 19.06 16.45 0.8854 2.248 "Rosa"
"117" 18.96 16.2 0.9077 4.334 "Rosa"
"118" 19.15 16.45 0.889 3.084 "Rosa"
"119" 18.89 16.23 0.9008 3.639 "Rosa"
"120" 20.03 16.9 0.8811 3.063 "Rosa"
"121" 20.24 16.91 0.8897 5.901 "Rosa"
"122" 18.14 16.12 0.8772 3.619 "Rosa"
"123" 16.17 15.38 0.8588 4.286 "Rosa"
"124" 18.43 15.97 0.9077 2.984 "Rosa"
"125" 15.99 14.89 0.9064 3.336 "Rosa"
"126" 18.75 16.18 0.8999 4.188 "Rosa"
"127" 18.65 16.41 0.8698 4.391 "Rosa"
"128" 17.98 15.85 0.8993 2.257 "Rosa"
"129" 20.16 17.03 0.8735 1.91 "Rosa"
"130" 17.55 15.66 0.8991 5.366 "Rosa"
"131" 18.3 15.89 0.9108 2.837 "Rosa"
"132" 18.94 16.32 0.8942 2.908 "Rosa"
"133" 15.38 14.9 0.8706 4.462 "Rosa"
"134" 16.16 15.33 0.8644 4.266 "Rosa"
"135" 15.56 14.89 0.8823 4.972 "Rosa"
"136" 15.38 14.66 0.899 3.6 "Rosa"
"137" 17.36 15.76 0.8785 3.526 "Rosa"
"138" 15.57 15.15 0.8527 2.64 "Rosa"
"139" 15.6 15.11 0.858 2.725 "Rosa"
"140" 16.23 15.18 0.885 3.769 "Rosa"
